zona;votos ADRIEL DO MLB;ocupacao ADRIEL DO MLB
333;173.0;0.3312302839116719
36;45.0;0.16143497757847533
332;34.0;0.1111111111111111
31;33.0;0.09655172413793103
33;29.0;0.14285714285714285
34;25.0;0.07796610169491526
26;22.0;0.09090909090909091
29;22.0;0.08695652173913043
39;22.0;0.06896551724137931
32;20.0;0.07509881422924901
35;17.0;0.06115107913669065
27;16.0;0.06637168141592921
37;16.0;0.0639269406392694
334;15.0;0.043478260869565216
331;10.0;0.04032258064516129
30;10.0;0.03875968992248062
28;6.0;0.024390243902439025
38;6.0;0.022556390977443608
