,id,nome,area,zona,cor_por_zona
157,299,Cenáculo,0.327,38,120
158,251,Granja Werneck,9.21,39,130
159,107,Minascaixa,0.975,38,120
160,296,Candelária,1.019,38,120
161,60,Etelvina Carneiro,0.309,39,130
162,10,Frei Leopoldo,0.248,39,130
163,92,Lagoa,0.629,334,170
164,380,Satélite,0.14,39,130
165,288,Bispo de Maura,0.017,31,50
166,67,Floramar,1.055,39,130
167,465,Vila Suzana I,0.065,32,60
168,263,Vila Formosa,0.044,333,160
169,252,Vista do Sol,0.317,331,140
170,375,São Gonçalo,0.243,331,140
171,134,Providência,0.712,331,140
172,324,Grotinha,0.013,331,140
173,410,Vila de Sá,0.015,27,10
174,199,Nova Cachoeirinha,0.55,30,40
175,424,Vila Maloca,0.021,30,40
176,456,Vila São Francisco,0.003,31,50
177,40,Cidade Nova,0.913,27,10
178,373,São Benedito,0.04,27,10
179,434,Vila Nova Cachoeirinha IV,0.015,32,60
180,57,Ermelinda,0.384,30,40
181,61,Europa,0.944,38,120
182,175,Vila SESC,0.02,38,120
183,95,Letícia,0.775,334,170
184,274,Apolônia,0.204,334,170
185,485,Conjunto Capitão Eduardo,0.17,331,140
186,202,Santa Branca,0.867,334,170
187,104,Maria Helena,0.734,38,120
188,473,Zilah Spósito,0.086,39,130
189,84,Jaqueline,2.954,39,130
190,308,Conjunto Minascaixa,0.21,38,120
191,374,São Damião,0.217,39,130
192,29,Canaã,0.48,39,130
193,174,Serra Verde,4.039,38,120
194,102,Mantiqueira,2.927,38,120
195,87,Jardim dos Comerciários,2.017,38,120
196,132,Prado,1.584,33,70
197,515,Vila da Amizade,0.021,332,150
198,506,São Jorge III,0.222,332,150
199,89,Jardinópolis,0.454,37,110
200,138,Salgado Filho,1.454,332,150
201,191,Maria Virgínia,0.575,32,60
202,151,Santa Terezinha,1.476,31,50
203,18,Buritis,3.814,332,150
204,240,Ernesto do Nascimento,0.181,333,160
205,225,Átila de Paiva,0.13,36,100
206,235,Itaipu,0.68,36,100
207,621,Ventosa,0.219,332,150
208,264,Corumbiara,0.054,333,160
209,510,Ambrosina,0.055,332,150
210,277,Barão Homem de Melo IV,0.05,332,150
211,387,Universo,0.051,334,170
212,619,Antônio Ribeiro de Abreu,0.03,331,140
213,286,Bernadete,0.082,333,160
214,330,Jardim do Vale,0.045,333,160
215,291,Vila Dias,0.029,26,0
216,12,Barro Preto,1.159,33,70
217,26,Camargos,1.853,37,110
218,50,Cruzeiro,0.53,35,90
219,246,Pilar,1.091,333,160
220,230,Brasil Industrial,0.625,333,160
221,30,Cardoso,0.945,333,160
222,231,Vila Pinho,0.358,333,160
223,484,Serra do Curral,17.377,333,160
224,368,Pirineus,0.515,28,20
225,493,Andiroba,0.028,27,10
226,327,Horto Florestal,2.04,26,0
227,497,Boa Esperança,0.019,331,140
228,511,São Jorge II,0.155,34,80
229,512,Alta Tensão,0.014,36,100
230,513,Alto das Antenas,0.156,333,160
231,498,Vila da Luz,0.073,27,10
232,501,Vila São Gabriel,0.021,331,140
233,620,Vila Santa Mônica,0.058,334,170
234,502,Vila Canto do Sabiá,0.014,38,120
235,617,Lagoa da Pampulha,3.138,--,-10
236,618,Marieta II,0.008,36,100
237,194,Vista Alegre,0.459,37,110
238,499,Vila Ouro Minas,0.037,331,140
239,649,São Judas Tadeu,0.034,333,160
240,650,Eliana Silva,0.035,333,160
241,359,Novo Santa Cecília,0.234,333,160
242,205,Vale do Jatobá,0.642,333,160
243,245,Solar do Barreiro,0.749,333,160
244,241,Santa Rita,0.122,333,160
245,481,Barreiro,1.58,36,100
246,105,Milionários,1.317,333,160
247,439,Vila Nova Paraíso,0.03,332,150
248,198,Pongelupe,0.239,333,160
249,260,Vila Ecológica,0.237,333,160
250,268,Águas Claras,0.146,333,160
251,242,Mangueiras,0.375,333,160
252,262,Silveira,0.344,26,0
253,109,Monsenhor Messias,0.349,30,40
254,153,Santo André,0.608,30,40
255,79,Inconfidência,0.345,31,50
256,68,Floresta,1.094,26,0
257,106,Minas Brasil,0.326,29,30
258,75,Gutierrez,1.246,34,80
259,396,Vila Antena,0.064,332,150
260,319,Estrela,0.074,34,80
261,350,Vila Madre Gertrudes III,0.018,37,110
262,265,Jonas Veiga,0.524,28,20
263,321,Fazendinha,0.208,35,90
264,11,Barroca,0.24,34,80
265,91,João Pinheiro,0.853,37,110
266,189,Vila Oeste,0.048,37,110
267,113,Nova Gameleira,1.169,37,110
268,114,Nova Granada,0.624,332,150
269,69,Funcionários,0.667,33,70
270,168,São Pedro,0.582,34,80
271,190,Vila Paris,0.299,34,80
272,369,Santa Isabel,0.006,35,90
273,371,Santa Sofia,0.128,332,150
274,486,Mala e Cuia,0.002,34,80
275,314,Custodinha,0.009,37,110
276,234,Boa Viagem,0.235,33,70
277,197,Alto Barroca,0.315,34,80
278,326,Guaratã,0.1,332,150
279,98,Lourdes,1.259,33,70
280,361,Oeste,0.791,37,110
281,356,Nossa Senhora do Rosário,0.176,35,90
282,355,Nossa Senhora de Fátima,0.62,35,90
283,315,Delta,0.045,29,30
284,24,Calafate,1.044,332,150
285,402,Vila Calafate,0.021,332,150
