zona;partido;votos para prefeito;votos para vereador;máximo de votos;votos para prefeito por votos para vereador
35;MDB;9531.0;2535.0;43.0;0.27
333;MDB;7758.0;2611.0;43.0;0.34
33;MDB;7230.0;1189.0;43.0;0.16
38;MDB;5745.0;1539.0;43.0;0.27
331;MDB;5549.0;2977.0;43.0;0.54
36;MDB;4580.0;1430.0;43.0;0.31
32;MDB;7602.0;2352.0;43.0;0.31
31;MDB;8802.0;3366.0;43.0;0.38
334;PT;3919.0;6268.0;30.0;1.6
332;PT;3347.0;6542.0;30.0;1.95
39;PT;2769.0;3995.0;30.0;1.44
30;PT;2900.0;4967.0;30.0;1.71
26;PT;3382.0;7273.0;30.0;2.15
28;PT;2867.0;3643.0;30.0;1.27
37;PT;2719.0;3845.0;30.0;1.41
29;PT;3394.0;5738.0;30.0;1.69
27;PT;2387.0;4265.0;30.0;1.79
34;PT;3074.0;8174.0;30.0;2.66
35;PT;3698.0;7391.0;30.0;2.0
333;PT;4274.0;6427.0;30.0;1.5
33;PT;2416.0;6338.0;30.0;2.62
38;PT;2656.0;2953.0;30.0;1.11
331;PT;2567.0;2665.0;30.0;1.04
36;PT;2828.0;4124.0;30.0;1.46
32;PT;2918.0;5122.0;30.0;1.76
31;PT;3391.0;5637.0;30.0;1.66
334;PDT;6894.0;2064.0;43.0;0.3
332;PDT;6890.0;2172.0;43.0;0.32
39;PDT;5025.0;2425.0;43.0;0.48
30;PDT;5452.0;1758.0;43.0;0.32
26;PDT;7260.0;2553.0;43.0;0.35
28;PDT;4378.0;1309.0;43.0;0.3
37;PDT;4041.0;1424.0;43.0;0.35
29;PDT;5987.0;1726.0;43.0;0.29
27;PDT;4579.0;2572.0;43.0;0.56
34;PDT;6294.0;2038.0;43.0;0.32
35;PDT;5820.0;2247.0;43.0;0.39
333;PDT;4923.0;1707.0;43.0;0.35
33;PDT;5110.0;1459.0;43.0;0.29
38;PDT;4108.0;1248.0;43.0;0.3
331;PDT;3657.0;2657.0;43.0;0.73
36;PDT;3776.0;1108.0;43.0;0.29
32;PDT;6000.0;2205.0;43.0;0.37
31;PDT;7378.0;2508.0;43.0;0.34
334;#NULO#;11062.0;16690.0;2.0;1.51
332;#NULO#;7402.0;10972.0;2.0;1.48
39;#NULO#;8503.0;12683.0;2.0;1.49
30;#NULO#;6193.0;9263.0;2.0;1.5
26;#NULO#;5506.0;8938.0;2.0;1.62
28;#NULO#;8060.0;9959.0;2.0;1.24
37;#NULO#;7037.0;9557.0;2.0;1.36
29;#NULO#;8193.0;11684.0;2.0;1.43
27;#NULO#;6941.0;9306.0;2.0;1.34
34;#NULO#;4910.0;7866.0;2.0;1.6
35;#NULO#;6839.0;9751.0;2.0;1.43
333;#NULO#;12765.0;17097.0;2.0;1.34
33;#NULO#;2596.0;4887.0;2.0;1.88
38;#NULO#;9560.0;13507.0;2.0;1.41
331;#NULO#;8375.0;10502.0;2.0;1.25
36;#NULO#;7442.0;10859.0;2.0;1.46
32;#NULO#;6815.0;10093.0;2.0;1.48
31;#NULO#;8457.0;12980.0;2.0;1.53
334;UP;156.0;237.0;4.0;1.52
332;UP;145.0;247.0;4.0;1.7
39;UP;156.0;262.0;4.0;1.68
30;UP;110.0;154.0;4.0;1.4
26;UP;166.0;331.0;4.0;1.99
28;UP;85.0;155.0;4.0;1.82
37;UP;89.0;121.0;4.0;1.36
29;UP;135.0;221.0;4.0;1.64
27;UP;104.0;161.0;4.0;1.55
34;UP;177.0;234.0;4.0;1.32
35;UP;157.0;223.0;4.0;1.42
333;UP;158.0;256.0;4.0;1.62
33;UP;155.0;237.0;4.0;1.53
38;UP;84.0;133.0;4.0;1.58
331;UP;131.0;169.0;4.0;1.29
36;UP;84.0;120.0;4.0;1.43
32;UP;176.0;259.0;4.0;1.47
31;UP;202.0;291.0;4.0;1.44
334;PL;33372.0;13429.0;43.0;0.4
332;PL;28757.0;11303.0;43.0;0.39
39;PL;25413.0;10244.0;43.0;0.4
30;PL;20927.0;7761.0;43.0;0.37
26;PL;23267.0;9445.0;43.0;0.41
28;PL;20113.0;5183.0;43.0;0.26
37;PL;20541.0;6222.0;43.0;0.3
29;PL;24716.0;7646.0;43.0;0.31
27;PL;22179.0;7240.0;43.0;0.33
34;PL;28939.0;12354.0;43.0;0.43
35;PL;23560.0;9159.0;43.0;0.39
333;PL;28018.0;6927.0;43.0;0.25
33;PL;17894.0;8170.0;43.0;0.46
38;PL;23545.0;9848.0;43.0;0.42
331;PL;21077.0;8041.0;43.0;0.38
36;PL;20532.0;6132.0;43.0;0.3
32;PL;24584.0;8857.0;43.0;0.36
31;PL;29261.0;9705.0;43.0;0.33
